,Unnamed: 0,melid,bar,beat,target,prediction_no_melody,prediction_with_melody,notes
0,0,1,0,0,Bb6,D7,G7,0
1,1,1,0,0,G7,C7,G7,0
2,2,1,0,0,C-7,C7,C-7,0
3,3,1,0,0,F7,F7,F7,0
4,4,1,0,0,Bb,Bbmaj7,Bbmaj7,0
5,5,1,0,0,G-7,G7,G7,0
6,6,1,0,0,C-7,C-7,C-7,0
7,7,1,0,0,F7,F7,F7,0
8,8,1,0,0,F-7,Bbmaj7,Bb6,0
9,9,1,0,0,Bb7,Bb7,Bb7,0
10,10,1,0,0,Eb7,Eb7,Eb7,0
11,11,1,0,0,Ab7,Ab7,Ab7,0
12,12,1,0,0,D-7,D-7,C-7,0
13,13,1,0,0,G7,G7,G7,0
14,14,1,0,0,C-7,C-7,C-7,0
15,15,1,0,0,F7,F7,F7,0
16,16,1,0,0,Bb6,Bb6,Bb6,0
17,17,1,0,0,G7,G7,G7,0
18,18,1,0,0,C-7,C-7,C-7,0
19,19,1,0,0,F7,F7,F7,0
20,20,1,0,0,Bb,Bb6,Bb6,0
21,21,1,0,0,G-7,G7,G7,0
22,22,1,0,0,C-7,C-7,C-7,0
23,23,1,0,0,F7,F7,F7,0
24,24,1,0,0,F-7,F-7,Bb6,0
25,25,1,0,0,Bb7,Bb7,Bb7,0
26,26,1,0,0,Eb7,Eb7,Eb7,0
27,27,1,0,0,Ab7,Ab7,Ab7,0
28,28,1,0,0,C-7,D-7,C-7,0
29,29,1,0,0,F7,F7,F7,0
30,30,1,0,0,Bb6,Bb6,Bb6,0
31,31,1,0,0,D7,G7,G7,0
32,32,1,0,0,G7,G7,G7,0
33,33,1,0,0,C7,C7,C7,0
34,34,1,0,0,F7,F7,F7,0
35,35,1,0,0,Bb,Bb6,Bb6,0
36,36,1,0,0,G7,G7,G7,0
37,37,1,0,0,C-7,C-7,C-7,0
38,38,1,0,0,F7,F7,F7,0
39,39,1,0,0,Bb,Bb6,Bb6,0
40,40,1,0,0,G-7,G7,G7,0
41,41,1,0,0,C-7,C-7,C-7,0
42,42,1,0,0,F7,F7,F7,0
43,43,1,0,0,F-7,F-7,F-7,0
44,44,1,0,0,Bb7,Bb7,Bb7,0
45,45,1,0,0,Eb7,Eb7,Eb7,0
46,46,1,0,0,Ab7,Ab7,Ab7,0
47,47,1,0,0,C-7,D-7,C-7,0
48,48,1,0,0,F7,F7,F7,0
49,49,1,0,0,Bb6,Bb6,Bb6,0
50,50,1,0,0,Bb6,G7,G7,0
51,51,1,0,0,G7,G7,G7,0
52,52,1,0,0,C-7,C-7,C-7,0
53,53,1,0,0,F7,F7,F7,0
54,54,1,0,0,Bb,Bb6,Bb6,0
55,55,1,0,0,G-7,G7,G7,0
56,56,1,0,0,C-7,C-7,C-7,0
57,57,1,0,0,F7,F7,F7,0
58,58,1,0,0,F-7,F-7,Bb6,0
59,59,1,0,0,Bb7,Bb7,Bb7,0
60,60,1,0,0,Eb7,Eb7,Eb7,0
61,61,1,0,0,Ab7,Ab7,Ab7,0
62,62,1,0,0,D-7,D-7,D-7,0
63,63,1,0,0,G7,G7,G7,0
64,64,1,0,0,C-7,C-7,C-7,0
65,65,1,0,0,F7,F7,F7,0
66,66,1,0,0,Bb6,Bb6,Bb6,0
67,67,1,0,0,G7,G7,G7,0
68,68,1,0,0,C-7,C-7,C-7,0
69,69,1,0,0,F7,F7,F7,0
70,70,1,0,0,Bb,Bb6,Bb6,0
71,71,1,0,0,G-7,G7,G7,0
72,72,1,0,0,C-7,C-7,C-7,0
73,73,1,0,0,F7,F7,F7,0
74,74,1,0,0,F-7,F-7,Bb6,0
75,75,1,0,0,Bb7,Bb7,Bb7,0
76,76,1,0,0,Eb7,Eb7,Eb7,0
77,77,1,0,0,Ab7,Ab7,Ab7,0
