,melid,bar,beat,target,prediction_no_melody,prediction_with_melody,notes,fold
0,1,1,1,Bb6,D7,G7,"58,58",6
1,1,1,3,G7,C7,G7,,6
2,1,2,1,C-7,C7,C-7,,6
3,1,2,3,F7,F7,F7,,6
4,1,3,1,Bb,Bbmaj7,Bbmaj7,,6
5,1,3,3,G-7,G7,G7,"50,57,60",6
6,1,4,1,C-7,C-7,C-7,"58,55,58",6
7,1,4,3,F7,F7,F7,"61,60,58",6
8,1,5,1,F-7,Bbmaj7,Bb6,"60,58",6
9,1,5,3,Bb7,Bb7,Bb7,"56,60,59,57",6
10,1,6,1,Eb7,Eb7,Eb7,"58,54,55,58",6
11,1,6,3,Ab7,Ab7,Ab7,"61,56,61,62",6
12,1,7,1,D-7,D-7,C-7,"58,60,55,58",6
13,1,7,3,G7,G7,G7,58,6
14,1,8,1,C-7,C-7,C-7,,6
15,1,8,3,F7,F7,F7,,6
16,1,9,1,Bb6,Bb6,Bb6,"65,62,60",6
17,1,9,3,G7,G7,G7,"59,55",6
18,1,10,1,C-7,C-7,C-7,"60,58,60,58,55",6
19,1,10,3,F7,F7,F7,"57,53",6
20,1,11,1,Bb,Bb6,Bb6,,6
21,1,11,3,G-7,G7,G7,"50,56,58",6
22,1,12,1,C-7,C-7,C-7,"54,55,60,58",6
23,1,12,3,F7,F7,F7,"57,60,63",6
24,1,13,1,F-7,F-7,Bb6,"68,67,66",6
25,1,13,3,Bb7,Bb7,Bb7,"65,62,58",6
26,1,14,1,Eb7,Eb7,Eb7,"63,58,55",6
27,1,14,3,Ab7,Ab7,Ab7,"61,58",6
28,1,15,1,C-7,D-7,C-7,"60,62,60,58,57,58",6
29,1,15,3,F7,F7,F7,,6
30,1,16,1,Bb6,Bb6,Bb6,62,6
31,1,17,1,D7,G7,G7,"66,60,64,60,62",6
32,1,19,1,G7,G7,G7,"59,67,62,65,67",6
33,1,21,1,C7,C7,C7,"64,65,67,69,70,72,74,72,70,67",6
34,1,23,1,F7,F7,F7,"67,63,60,58,57,65,60,63,65",6
